file_name,no_of_ifs,no_of_loop,no_of_break,priority_queue_present,no_of_sort,hash_set_present,hash_map_present,recursion_present,nested_loop_depth,complexity
1182.java,2,0,0,0,0,0,0,0,0,1
1183.java,6,2,0,0,0,0,0,0,1,1
1184.java,1,0,0,0,0,0,0,0,0,1
1185.java,12,2,0,0,0,0,0,0,1,1
1186.java,2,6,0,0,0,0,0,0,2,1
1187.java,0,1,0,0,0,0,0,0,1,1
1188.java,0,1,0,0,0,0,0,0,1,1
1189.java,0,1,0,0,0,0,0,0,1,1
1190.java,1,1,0,0,0,0,0,0,1,1
1191.java,2,1,0,0,0,0,0,1,1,1
1192.java,1,0,0,0,0,0,0,0,0,1
1193.java,1,0,0,0,0,0,0,0,0,1
1194.java,1,1,0,0,0,0,0,0,1,1
1195.java,1,0,0,0,0,0,0,0,0,1
1196.java,1,1,0,0,0,0,0,0,1,1
1197.java,1,1,0,0,0,0,0,0,1,1
1198.java,0,0,0,0,0,0,0,0,0,1
1199.java,1,0,0,0,0,0,0,0,0,1
1200.java,2,0,0,0,0,0,0,0,0,1
1201.java,2,0,0,0,0,0,0,0,0,1
1202.java,3,6,0,0,0,0,0,0,2,1
1203.java,2,5,0,0,0,0,0,0,2,1
1204.java,2,0,0,0,0,0,0,0,0,1
1205.java,0,0,0,0,0,0,0,0,0,1
1206.java,1,0,0,0,0,0,0,0,0,1
1207.java,2,0,0,0,0,0,0,0,0,1
1208.java,10,0,0,0,0,0,0,0,0,1
1209.java,3,6,0,0,0,0,0,0,1,1
1210.java,0,0,0,0,0,0,0,0,0,1
1211.java,7,2,0,0,0,0,0,0,1,1
1213.java,3,1,0,0,0,0,0,0,1,1
1214.java,2,1,0,0,0,0,0,0,1,1
1215.java,1,1,0,0,0,0,0,0,1,1
172.java,5,1,0,0,0,0,0,0,1,1
217.java,2,0,0,0,0,0,0,0,0,1
492.java,7,0,0,0,0,0,0,0,0,1
600.java,0,0,0,0,0,0,0,0,0,1
601.java,2,0,0,0,0,0,0,0,0,1
602.java,1,0,0,0,0,0,0,0,0,1
615.java,2,0,0,0,0,0,0,0,0,1
616.java,1,1,0,0,0,0,0,0,1,1
619.java,0,2,0,0,0,0,0,0,1,1
63.java,3,1,0,0,0,0,0,0,1,1
643.java,3,0,0,0,0,0,0,0,0,1
644.java,5,1,0,0,0,0,0,0,1,1
645.java,6,0,0,0,0,0,0,0,0,1
646.java,6,4,0,0,1,0,0,0,2,1
647.java,18,4,2,0,1,0,0,0,1,1
648.java,24,1,0,0,0,0,0,0,1,1
718.java,6,0,0,0,0,0,0,0,0,1
733.java,0,1,0,0,0,0,0,0,1,1
743.java,10,3,0,0,0,0,0,0,1,1
745.java,1,0,0,0,0,0,0,0,0,1
757.java,1,1,0,0,0,0,0,0,1,1
766.java,0,0,0,0,0,0,0,0,0,1
775.java,2,0,0,0,0,0,0,0,0,1
780.java,0,0,0,0,0,0,0,0,0,1
781.java,0,1,0,0,0,0,0,0,1,1
782.java,4,2,0,0,0,0,0,0,1,1
791.java,1,0,0,0,0,0,0,0,0,1
802.java,0,1,0,0,0,0,0,0,1,1
804.java,0,1,0,0,0,0,0,0,1,1
813.java,3,0,0,0,0,0,0,0,0,1
816.java,4,1,0,0,0,0,0,0,1,1
832.java,0,1,0,0,0,0,0,0,1,1
835.java,0,0,0,0,0,0,0,0,0,1
842.java,6,0,0,0,0,0,0,0,0,1
858.java,1,1,0,0,0,0,0,0,1,1
868.java,1,0,0,0,0,0,0,0,0,1
878.java,1,5,0,0,0,0,0,0,2,1
889.java,2,1,0,0,0,0,0,0,1,1
910.java,6,3,0,0,0,1,0,0,1,1
923.java,1,0,0,0,0,0,0,0,0,1
925.java,4,4,0,0,0,0,0,0,2,1
931.java,5,6,0,0,0,0,0,0,2,1
995.java,0,1,0,0,0,0,0,0,1,1
996.java,6,2,0,0,0,0,0,0,1,1
262.java,0,0,0,0,0,0,0,0,0,1
111.java,5,1,0,0,0,0,0,1,1,logn
1157.java,10,3,0,0,0,0,0,0,1,logn
1158.java,7,3,0,0,0,0,0,0,2,logn
1159.java,5,1,0,0,0,0,0,0,1,logn
1160.java,7,3,0,0,0,0,0,0,1,logn
1161.java,10,3,0,0,0,0,0,0,1,logn
1162.java,12,3,0,0,0,0,0,0,1,logn
1164.java,5,2,1,0,0,0,0,0,1,logn
1165.java,5,3,0,0,0,0,0,0,1,logn
1166.java,4,2,0,0,0,0,0,0,1,logn
1168.java,4,1,0,0,0,0,0,0,1,logn
1169.java,3,2,0,0,0,0,0,0,1,logn
1170.java,3,1,0,0,0,0,0,0,1,logn
1171.java,3,1,0,0,0,0,0,1,1,logn
125.java,7,0,0,0,0,0,0,1,0,logn
127.java,6,0,0,0,0,0,0,1,0,logn
1500.java,5,1,0,0,0,0,0,1,1,logn
1501.java,5,0,0,0,0,0,0,1,0,logn
1502.java,4,1,0,0,0,0,0,1,1,logn
1503.java,4,2,0,0,0,0,0,0,1,logn
1504.java,7,0,0,0,0,0,0,1,0,logn
1505.java,7,0,0,0,0,0,0,1,0,logn
1506.java,2,1,0,0,0,0,0,0,1,logn
1507.java,4,1,0,0,0,0,0,0,1,logn
1508.java,3,2,0,0,0,0,0,0,1,logn
1509.java,4,1,0,0,0,0,0,0,1,logn
1510.java,5,2,0,0,0,0,0,0,1,logn
1511.java,4,1,0,0,0,0,0,0,1,logn
1512.java,2,1,0,0,0,0,0,0,1,logn
1513.java,3,0,0,0,0,0,0,1,0,logn
1514.java,2,1,0,0,0,0,0,0,1,logn
1515.java,5,0,0,0,0,0,0,1,0,logn
218.java,0,2,0,0,0,0,0,0,1,logn
22.java,5,0,0,0,0,0,0,1,0,logn
5.java,5,0,0,0,0,0,0,1,0,logn
512.java,4,0,0,0,0,0,0,1,0,logn
513.java,3,1,0,0,0,0,0,0,1,logn
516.java,4,1,0,0,0,0,0,1,1,logn
519.java,11,0,0,0,0,0,0,1,0,logn
521.java,9,0,0,0,0,0,0,1,0,logn
527.java,7,0,0,0,0,0,0,1,0,logn
529.java,4,2,0,0,0,0,0,1,1,logn
534.java,3,0,0,0,0,0,0,1,0,logn
536.java,5,0,0,0,0,0,0,1,0,logn
538.java,2,0,0,0,0,0,0,1,0,logn
539.java,5,0,0,0,0,0,0,1,0,logn
540.java,6,0,0,0,0,0,0,1,0,logn
543.java,3,0,0,0,0,0,0,1,0,logn
56.java,3,0,0,0,0,0,0,1,0,logn
715.java,6,1,0,0,0,0,0,0,1,logn
783.java,4,4,1,0,0,0,0,0,2,logn
794.java,5,1,0,0,0,0,0,0,1,logn
927.java,3,2,0,0,0,0,0,0,1,logn
530.java,7,0,0,0,0,0,0,1,0,logn
1167.java,5,1,0,0,0,0,0,0,1,logn
1000.java,0,1,0,0,0,0,0,0,1,n
1002.java,10,7,0,0,0,0,0,0,1,n
1003.java,11,7,0,0,0,0,0,0,1,n
1004.java,3,2,0,0,0,0,0,0,1,n
1005.java,3,4,0,0,0,0,0,0,1,n
1006.java,3,2,0,0,0,0,0,0,1,n
1007.java,6,7,0,0,0,0,0,0,1,n
1008.java,7,8,0,0,0,0,0,0,1,n
1009.java,3,2,0,0,0,0,0,0,1,n
101.java,7,5,4,0,0,0,0,0,1,n
1010.java,1,5,0,0,0,0,0,0,1,n
1011.java,7,5,1,0,0,0,0,0,1,n
1012.java,3,5,1,0,0,0,0,0,1,n
1021.java,0,0,0,0,0,0,0,0,0,n
1022.java,2,3,0,0,0,0,0,0,2,n
1023.java,2,2,0,0,0,0,0,0,2,n
1025.java,0,0,0,0,0,0,0,0,0,n
1026.java,1,2,0,0,0,0,0,0,1,n
1027.java,4,4,1,0,0,0,0,0,1,n
1028.java,9,5,0,0,0,0,0,0,1,n
1029.java,3,4,0,0,0,0,0,0,1,n
106.java,0,2,0,0,0,0,0,0,1,n
109.java,4,3,0,0,0,0,0,0,1,n
268.java,2,3,0,0,0,0,0,0,2,n
269.java,2,4,0,0,0,0,0,0,1,n
270.java,6,2,0,0,0,0,0,0,1,n
272.java,1,1,0,0,0,0,0,0,1,n
273.java,6,4,1,0,0,0,0,0,1,n
275.java,3,2,0,0,0,1,0,0,1,n
276.java,1,2,0,0,0,0,0,0,1,n
277.java,0,2,0,0,0,0,0,0,2,n
279.java,1,2,0,0,0,0,0,0,2,n
28.java,1,1,0,0,0,0,0,1,1,n
280.java,1,2,0,0,0,0,0,0,1,n
281.java,3,1,0,0,0,0,0,0,1,n
282.java,2,1,0,0,0,0,0,0,1,n
284.java,1,1,0,0,0,0,0,0,1,n
287.java,3,1,0,0,0,0,0,0,1,n
296.java,0,1,0,0,0,0,0,0,1,n
299.java,1,1,0,0,0,0,0,0,1,n
3.java,0,1,0,0,0,0,0,0,1,n
300.java,2,1,0,0,0,0,0,1,1,n
308.java,1,0,0,0,0,0,0,1,0,n
309.java,0,1,0,0,0,0,0,0,1,n
32.java,0,3,0,0,0,0,0,0,1,n
320.java,3,1,0,0,0,0,0,0,1,n
321.java,4,0,0,0,0,0,0,1,0,n
329.java,4,1,0,0,0,0,0,0,1,n
33.java,1,5,0,0,0,0,0,0,1,n
331.java,0,1,0,0,0,0,0,0,1,n
333.java,0,1,0,0,0,0,0,0,1,n
334.java,1,1,0,0,0,0,0,0,1,n
345.java,3,1,0,0,0,0,0,0,1,n
349.java,0,1,0,0,0,0,0,0,1,n
35.java,1,4,0,0,0,0,0,0,1,n
350.java,3,1,0,0,0,0,0,0,1,n
351.java,3,1,0,0,0,0,0,0,1,n
352.java,0,1,0,0,0,0,0,0,1,n
353.java,0,1,0,0,0,0,0,0,1,n
354.java,2,1,0,0,0,0,0,0,1,n
355.java,2,1,0,0,0,0,0,0,1,n
356.java,0,4,0,0,0,0,0,0,2,n
358.java,3,2,0,0,0,0,0,0,1,n
36.java,1,3,0,0,0,0,0,0,1,n
360.java,5,0,0,0,0,0,0,1,0,n
362.java,0,0,0,0,0,0,0,0,0,n
365.java,0,1,0,0,0,0,0,0,1,n
37.java,3,4,0,0,0,0,0,0,1,n
374.java,3,0,0,0,0,0,0,1,0,n
377.java,2,0,0,0,0,0,0,1,0,n
378.java,4,0,0,0,0,0,0,1,0,n
38.java,2,2,0,0,0,0,0,0,1,n
381.java,7,2,0,0,0,0,0,1,1,n
382.java,3,0,0,0,0,0,0,1,0,n
383.java,3,0,0,0,0,0,0,1,0,n
385.java,5,3,0,0,0,0,0,0,2,n
386.java,5,1,0,0,0,0,0,0,1,n
388.java,2,2,0,0,0,0,0,0,1,n
389.java,4,1,0,0,0,0,0,0,1,n
39.java,1,2,0,0,0,0,0,0,1,n
390.java,5,1,0,0,0,0,0,1,1,n
391.java,3,0,0,0,0,0,0,1,0,n
393.java,7,1,0,0,0,0,0,0,1,n
394.java,9,0,0,0,0,0,0,1,0,n
398.java,3,1,0,0,0,0,0,1,1,n
399.java,2,0,0,0,0,0,0,1,0,n
4.java,4,2,1,0,0,0,0,0,1,n
400.java,3,0,0,0,0,0,0,1,0,n
404.java,2,3,0,0,0,0,0,1,1,n
405.java,2,1,0,0,0,0,0,1,1,n
406.java,2,1,0,0,0,0,0,1,1,n
408.java,3,0,0,0,0,0,0,1,0,n
409.java,2,0,0,0,0,0,0,1,0,n
410.java,3,0,0,0,0,0,0,1,0,n
411.java,2,2,0,0,0,0,0,1,1,n
412.java,4,0,0,0,0,0,0,1,0,n
413.java,6,2,1,0,0,0,0,1,2,n
414.java,4,3,1,0,0,0,0,0,2,n
415.java,5,0,0,0,0,0,0,1,0,n
417.java,10,0,0,0,0,0,0,1,0,n
418.java,5,0,0,0,0,0,0,1,0,n
419.java,4,0,0,0,0,0,0,1,0,n
420.java,10,2,0,0,0,0,0,0,2,n
422.java,4,0,0,0,0,0,0,1,0,n
424.java,4,1,0,0,0,0,0,1,1,n
425.java,4,0,0,0,0,0,0,1,0,n
426.java,6,1,0,0,0,0,0,0,1,n
428.java,12,2,1,0,0,0,0,1,2,n
429.java,3,0,0,0,0,0,0,1,0,n
43.java,7,3,1,0,2,0,0,1,1,n
430.java,3,2,1,0,0,0,0,0,2,n
431.java,3,0,0,0,0,0,0,1,0,n
432.java,3,0,0,0,0,0,0,1,0,n
433.java,9,0,0,0,0,0,0,1,0,n
434.java,4,1,0,0,0,0,0,1,1,n
435.java,2,0,0,0,0,0,0,1,0,n
436.java,5,2,1,0,0,0,0,0,2,n
437.java,2,0,0,0,0,0,0,1,0,n
438.java,2,0,0,0,0,0,0,1,0,n
439.java,3,2,0,0,0,0,0,1,1,n
44.java,1,1,0,0,0,0,0,0,1,n
440.java,2,0,0,0,0,0,0,1,0,n
441.java,2,0,0,0,0,0,0,1,0,n
442.java,2,1,0,0,0,0,0,1,1,n
443.java,5,1,0,0,0,0,0,0,1,n
445.java,4,2,0,0,0,0,0,0,2,n
446.java,4,0,0,0,0,0,0,1,0,n
447.java,7,3,0,0,0,0,0,1,2,n
449.java,3,1,0,0,0,0,0,0,1,n
45.java,4,1,0,0,0,0,0,0,1,n
451.java,4,3,1,0,0,0,0,0,2,n
452.java,6,0,0,0,0,0,0,1,0,n
453.java,7,1,0,0,0,0,0,1,1,n
454.java,6,4,0,0,0,0,0,0,1,n
455.java,5,1,0,0,0,0,0,1,1,n
456.java,4,0,0,0,0,0,0,1,0,n
461.java,3,4,0,0,0,0,0,1,1,n
462.java,4,2,0,0,0,0,0,0,1,n
469.java,7,1,0,0,0,0,0,0,1,n
470.java,6,1,0,0,0,0,0,0,1,n
479.java,0,0,0,0,0,0,0,0,0,n
481.java,1,1,0,0,0,0,0,0,1,n
494.java,5,4,0,0,0,0,0,0,1,n
496.java,1,2,0,0,0,0,0,0,1,n
500.java,1,1,0,0,0,0,0,0,1,n
506.java,2,2,0,0,0,0,0,0,1,n
507.java,3,2,0,0,0,0,0,0,1,n
508.java,3,3,0,1,0,0,0,0,1,n
509.java,1,2,0,0,0,0,0,0,2,n
515.java,4,0,0,0,0,0,0,1,0,n
517.java,0,1,0,0,0,0,0,0,1,n
524.java,4,1,0,0,0,0,0,0,1,n
526.java,4,1,0,0,0,0,0,0,1,n
528.java,1,1,0,0,0,0,0,0,1,n
531.java,2,2,0,0,0,0,0,0,1,n
532.java,2,4,0,0,0,0,0,0,1,n
533.java,1,1,0,0,0,0,0,0,1,n
535.java,1,1,0,0,0,0,0,0,1,n
537.java,2,1,0,0,0,0,0,0,1,n
54.java,4,1,0,0,0,0,0,0,1,n
541.java,2,1,0,0,0,0,1,0,1,n
542.java,3,1,0,0,0,0,0,0,1,n
544.java,2,1,0,0,0,0,0,0,1,n
545.java,2,1,0,0,0,0,0,0,1,n
547.java,4,2,1,0,0,0,0,0,1,n
549.java,3,1,0,0,0,0,0,0,1,n
55.java,4,1,0,0,0,0,0,0,1,n
551.java,3,2,0,0,0,0,0,0,2,n
552.java,3,1,0,0,0,0,0,0,1,n
553.java,2,1,0,0,0,0,0,0,1,n
554.java,2,2,0,0,0,0,0,0,2,n
555.java,0,3,0,0,0,0,0,0,1,n
557.java,1,2,0,0,0,0,0,0,1,n
558.java,2,1,0,0,0,0,0,0,1,n
559.java,1,1,0,0,0,0,0,0,1,n
563.java,7,2,0,0,0,0,0,0,1,n
568.java,2,4,0,0,0,0,0,0,1,n
569.java,1,2,0,0,0,0,0,0,2,n
57.java,0,1,0,0,0,0,0,0,1,n
570.java,2,3,0,0,0,0,0,0,2,n
571.java,2,3,0,0,0,0,0,0,1,n
574.java,6,2,0,0,0,0,0,0,1,n
578.java,4,5,0,0,0,0,0,0,3,n
580.java,3,2,1,0,0,0,0,0,1,n
582.java,3,1,1,0,1,0,0,0,1,n
588.java,1,2,0,0,0,0,0,0,1,n
589.java,2,3,0,0,0,0,0,0,1,n
59.java,1,1,0,0,0,0,0,0,1,n
590.java,1,2,0,0,0,0,0,0,1,n
591.java,0,2,0,0,0,0,0,0,2,n
593.java,3,3,0,0,0,0,0,0,1,n
594.java,5,3,0,0,0,1,0,0,1,n
599.java,8,5,3,0,0,0,0,0,1,n
6.java,1,2,0,0,0,0,0,0,1,n
603.java,3,2,1,0,0,0,0,0,1,n
604.java,0,1,0,0,0,0,0,0,1,n
617.java,7,2,4,0,0,0,0,0,1,n
618.java,12,1,0,0,0,0,0,0,1,n
62.java,1,1,0,0,0,0,0,0,1,n
621.java,9,6,5,0,0,0,0,0,1,n
622.java,1,6,0,0,0,0,0,0,2,n
632.java,2,2,0,0,0,0,0,0,1,n
633.java,1,2,0,0,0,0,0,0,1,n
636.java,0,0,0,0,0,0,0,0,0,n
637.java,6,3,0,0,1,0,0,0,1,n
638.java,10,4,0,0,1,0,0,1,1,n
639.java,7,4,0,0,1,0,0,0,1,n
64.java,1,2,0,0,0,0,1,0,1,n
640.java,0,0,0,0,0,0,0,0,0,n
641.java,4,6,0,0,0,0,0,0,1,n
642.java,9,6,0,0,0,0,0,0,1,n
65.java,1,2,0,0,0,0,0,0,1,n
650.java,4,2,0,0,0,0,0,0,1,n
653.java,0,1,0,0,0,0,0,0,1,n
654.java,13,12,0,0,0,0,0,0,1,n
657.java,2,2,0,0,0,0,0,0,1,n
658.java,1,2,0,0,0,0,0,0,1,n
659.java,2,1,0,0,0,0,0,0,1,n
66.java,2,3,0,0,0,0,0,0,1,n
660.java,1,1,1,0,0,0,0,0,1,n
662.java,3,1,0,0,0,0,0,0,1,n
665.java,1,3,0,0,0,0,0,0,1,n
667.java,4,4,0,0,0,0,0,0,1,n
668.java,9,2,0,0,0,0,0,0,2,n
669.java,7,7,0,0,0,0,0,1,1,n
67.java,2,2,0,0,0,0,0,0,1,n
670.java,2,4,2,0,0,0,0,0,2,n
671.java,3,4,0,0,0,0,0,0,2,n
672.java,2,1,0,0,0,0,0,0,1,n
675.java,0,3,0,0,0,0,0,0,1,n
676.java,2,3,0,0,0,0,0,0,1,n
679.java,6,2,0,0,0,0,0,0,1,n
683.java,4,5,0,0,0,0,0,0,3,n
685.java,3,2,1,0,0,0,0,0,1,n
687.java,3,1,1,0,1,0,0,0,1,n
69.java,3,2,1,0,0,0,0,0,1,n
693.java,1,2,0,0,0,0,0,0,1,n
694.java,2,3,0,0,0,0,0,0,1,n
695.java,1,2,0,0,0,0,0,0,1,n
696.java,0,2,0,0,0,0,0,0,2,n
698.java,3,3,0,0,0,0,0,0,1,n
699.java,5,3,0,0,0,1,0,0,1,n
704.java,8,5,3,0,0,0,0,0,1,n
708.java,1,2,0,0,0,0,0,0,1,n
712.java,0,5,0,0,0,0,0,0,2,n
713.java,1,1,0,0,0,0,0,0,1,n
714.java,0,3,0,0,0,0,0,0,2,n
717.java,7,4,1,0,0,0,0,0,1,n
719.java,2,2,1,0,0,0,0,0,1,n
721.java,3,1,0,0,0,0,0,0,1,n
728.java,2,6,0,0,0,0,0,0,2,n
735.java,1,1,0,0,0,0,0,0,1,n
736.java,3,5,0,0,0,0,0,0,1,n
738.java,3,5,0,0,0,0,0,1,1,n
742.java,19,3,0,0,0,0,0,0,1,n
746.java,9,5,0,0,0,0,0,0,1,n
747.java,9,7,1,0,0,0,0,0,1,n
750.java,2,1,0,0,0,0,0,0,1,n
752.java,9,8,0,0,0,0,0,0,2,n
753.java,0,2,0,0,0,0,0,0,1,n
754.java,3,4,0,0,0,0,0,0,1,n
756.java,10,4,0,0,0,0,0,0,1,n
758.java,2,2,1,0,0,0,0,0,1,n
76.java,4,3,0,0,0,0,0,0,2,n
761.java,2,7,0,0,0,0,0,1,2,n
763.java,1,2,0,0,0,0,0,0,1,n
765.java,3,3,3,0,0,0,0,0,2,n
770.java,7,7,0,0,0,0,0,0,1,n
771.java,1,1,0,0,0,0,0,0,1,n
772.java,17,11,0,0,0,0,0,0,2,n
773.java,0,2,0,0,0,0,0,0,1,n
774.java,7,6,0,0,0,0,0,1,1,n
776.java,2,1,1,0,0,0,0,0,1,n
777.java,2,4,1,0,0,0,0,0,2,n
78.java,2,2,0,0,0,0,0,0,1,n
785.java,3,5,0,0,0,0,0,0,2,n
786.java,8,4,0,0,0,0,0,0,1,n
789.java,1,3,0,0,0,0,0,0,1,n
79.java,2,2,0,0,0,0,0,0,1,n
793.java,0,2,0,0,0,0,0,0,1,n
795.java,6,12,0,0,0,0,0,0,2,n
796.java,0,1,0,0,0,0,0,0,1,n
799.java,0,3,0,0,0,0,0,0,2,n
8.java,0,1,0,0,0,0,0,0,1,n
80.java,2,1,0,0,0,0,0,0,1,n
800.java,4,3,0,0,0,0,0,0,1,n
801.java,4,4,1,0,0,0,0,0,2,n
803.java,1,4,0,0,0,0,0,0,1,n
806.java,2,2,1,0,0,0,0,0,2,n
81.java,0,1,0,0,0,0,0,0,1,n
814.java,2,3,0,0,0,0,0,0,1,n
820.java,3,17,0,0,0,0,0,0,8,n
824.java,1,1,1,0,0,0,0,0,1,n
825.java,0,1,0,0,0,0,0,0,1,n
827.java,4,5,1,0,0,0,0,0,2,n
828.java,2,2,0,0,0,0,0,0,1,n
829.java,0,1,0,0,0,0,0,0,1,n
836.java,2,3,0,0,0,0,0,0,1,n
837.java,2,6,0,0,0,0,0,0,1,n
841.java,10,8,0,0,0,0,0,0,2,n
846.java,0,1,0,0,0,0,0,0,1,n
848.java,7,2,1,0,0,0,0,0,1,n
85.java,3,2,0,0,0,0,0,0,1,n
851.java,2,3,0,0,0,0,0,0,1,n
854.java,1,2,0,0,0,0,0,0,1,n
856.java,5,2,0,0,0,0,0,0,1,n
857.java,2,3,0,0,0,1,0,0,2,n
860.java,2,3,0,0,0,0,0,1,1,n
861.java,2,2,0,0,0,0,0,0,1,n
864.java,2,6,0,0,0,0,0,0,1,n
867.java,1,6,0,0,0,0,0,0,2,n
869.java,1,1,0,0,0,0,0,0,1,n
874.java,4,5,2,0,0,0,0,0,2,n
875.java,2,1,0,0,0,0,0,0,1,n
880.java,1,1,0,0,0,1,0,0,1,n
881.java,2,2,0,0,0,0,0,0,1,n
883.java,2,2,0,0,0,1,0,0,1,n
886.java,1,3,0,0,0,0,0,0,1,n
887.java,2,1,0,0,0,0,0,0,1,n
89.java,2,3,0,0,0,0,0,0,1,n
890.java,4,2,0,0,0,0,0,0,1,n
892.java,3,1,0,0,0,0,0,0,1,n
893.java,3,8,0,0,0,0,0,0,2,n
896.java,4,2,1,0,0,0,1,0,1,n
898.java,10,5,0,0,0,0,0,1,1,n
9.java,0,2,0,0,0,0,0,0,1,n
90.java,0,2,0,0,0,0,0,0,1,n
900.java,7,0,0,0,0,0,0,0,0,n
902.java,10,7,0,0,0,0,0,1,1,n
91.java,3,3,0,0,1,0,0,0,2,n
913.java,3,2,0,0,0,0,0,0,1,n
916.java,7,2,1,0,0,0,0,0,1,n
917.java,7,2,4,0,0,0,0,0,1,n
918.java,1,1,0,0,0,0,0,0,1,n
921.java,7,4,0,0,0,0,0,0,2,n
926.java,1,1,0,0,0,0,1,0,1,n
929.java,1,6,0,0,0,0,0,0,2,n
935.java,2,1,0,0,0,0,0,0,1,n
938.java,2,2,0,0,0,0,0,0,1,n
939.java,2,3,1,0,0,0,0,0,1,n
940.java,4,3,0,0,0,0,0,0,2,n
941.java,2,6,0,0,0,0,0,0,2,n
942.java,2,3,0,0,0,1,0,0,1,n
944.java,12,4,0,0,0,0,1,0,1,n
946.java,1,2,0,0,0,0,0,0,1,n
947.java,4,6,0,0,0,0,0,0,2,n
948.java,6,4,0,0,0,0,0,0,1,n
951.java,6,4,0,0,0,0,0,0,1,n
952.java,13,7,3,0,0,0,0,0,1,n
963.java,2,2,0,0,0,0,0,0,1,n
965.java,0,3,0,0,0,0,0,0,1,n
968.java,1,3,0,0,0,0,0,0,1,n
969.java,0,4,0,0,0,0,0,0,2,n
97.java,2,3,0,0,0,0,0,0,1,n
970.java,1,0,0,0,0,0,0,0,0,n
971.java,0,4,0,0,0,0,0,0,2,n
972.java,1,2,0,0,0,0,0,0,1,n
973.java,6,2,0,0,0,0,0,0,1,n
974.java,4,2,0,0,0,0,0,0,1,n
976.java,3,3,0,0,0,0,0,0,1,n
977.java,3,2,0,0,0,0,0,0,1,n
978.java,3,2,0,0,0,0,0,0,1,n
979.java,3,2,0,0,0,0,0,0,1,n
98.java,3,2,0,0,0,0,0,0,1,n
981.java,3,2,0,0,0,0,0,0,1,n
994.java,3,3,0,0,0,0,0,0,1,n
997.java,4,3,0,0,0,0,0,0,1,n
998.java,0,1,0,0,0,0,0,0,1,n
999.java,0,1,0,0,0,0,0,0,1,n
114.java,0,1,0,0,0,0,0,0,1,n
130.java,2,1,0,0,0,1,0,0,1,n
